mlp0 5s
mlp1 9s
mlp2 12s
mlp3 16s
mlp4 19s
mlp5 23s
mlp6 26s
mlp7 30s
mlp8 33s
mlp9 37s
mlp10 40s
mlp11 44s
mlp12 47s
mlp13 51s
mlp14 54s
mlp15 58s
mlp16 61s
mlp17 65s
attn0 67s
attn1 68s
attn2 70s
attn3 72s
attn4 73s
attn5 75s
attn6 77s
attn7 78s
attn8 80s
attn9 82s
attn10 83s
attn11 85s
attn12 87s
attn13 89s
attn14 90s
attn15 92s
attn16 94s
attn17 95s

tokens 54272 | sign agreement 33/36
(a) <45min: HELD
(b) signs agree >=30/36: HELD
wrote /workspace/tensor_language/basis_aligned/bilinear_quotient/circuit_atlas_big_results.json (95s)
