Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
global rise 0.001
  question     +0.0791 (n=239)
  newline      +0.0646 (n=3555)
  semicolon    +0.0586 (n=242)
  colon        +0.0434 (n=888)
  dollar       +0.0400 (n=146)
  close_paren  +0.0248 (n=693)
  open_quote   +0.0132 (n=601)
  close_quote  +0.0132 (n=596)
  years        +0.0090 (n=461)
  digits       +0.0086 (n=5143)
  months       +0.0021 (n=170)
  said         -0.0002 (n=396)
  units        -0.0004 (n=44)
  not          -0.0019 (n=497)
  capitalized  -0.0028 (n=18177)
  comma        -0.0035 (n=7136)
  is           -0.0047 (n=3023)
  ing          -0.0048 (n=4300)
  the          -0.0050 (n=8145)
  of           -0.0053 (n=3833)
  to           -0.0058 (n=3706)
  and          -0.0091 (n=4700)
pred_a False | pred_b True | pred_c True
wrote /workspace/tensor_language/basis_aligned/bilinear_quotient/circuit_h126_results.json (72.8s)
