level 0: 108 probes
r.0: repl 0.98 class newline 0.05 n=11981 tokens ['/', ' )', '1', '2', '3', ' the']
  r.0.0: repl 0.944 class newline 0.207 n=1798 tokens ['tainment', '6', 'tainment', ' Court', '3', ' House']
    r.0.0.0: repl 0.997 class newline 0.463 n=270 tokens ['2', ' Abbey', 'head', 'tainment', '3', 'gate']
    r.0.0.1: repl 0.883 class name 0.118 n=270 tokens [' Dover', 'bourne', ' Hotel', 'ham', ' Eating', 'ster']
    r.0.0.2: repl 0.904 class name 0.015 n=270 tokens ['2', '2', '300', '3', ' Museum', 'ights']
    r.0.0.3: repl 0.778 class name 0.019 n=270 tokens ['3', ' BAR', ' BAR', ' House', 'UB', ' Market']
  r.0.1: repl 0.877 class newline 0.05 n=1798 tokens ['ham', '\n', '\n', '\n', '\n', '\n']
    r.0.1.0: repl 0.86 class newline 0.375 n=270 tokens ['1', '3', '2', '4', '3', ' ']
    r.0.1.1: repl 0.843 class name 0.085 n=270 tokens ['\n', ')', '\n', 'ights', '\n', 'ights']
    r.0.1.2: repl 0.957 class name 0.119 n=270 tokens ['tainment', ' Museum', ' House', ' Court', ' Abbey', '\n']
    r.0.1.3: repl 0.182 class digit 0.007 n=270 tokens ['ISH', '\n', 'UB', ' Steps', ' Canterbury', 'ights']
  r.0.2: repl 0.28 class newline 0.01 n=1798 tokens ['ster', 'ate', 'ities', ' the', ' t', '\n']
  r.0.3: repl 0.064 class other 0.009 n=1798 tokens ['4', '3', ' Rye', 'ment', '\n', '2']
r.1: repl 0.929 class ind 0.034 n=11981 tokens [' o', '\n', '\n', '\n', '\n', 'ING']
  r.1.0: repl 0.933 class newline 0.116 n=1798 tokens [' ', ' ', ' ', ' G', ' ', ' ']
    r.1.0.0: repl 0.978 class newline 0.44 n=270 tokens ['\n', '\n', '\n', '\n', '\n', '\n']
    r.1.0.1: repl 0.922 class subword 0.062 n=270 tokens ['LE', ' ', ' ', 'LE', ' ', ' W']
