Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
whiteners built
attn maps built
context capture done
planks 0/1 context-fit
planks 2/3 fit
unit planks built
compiler-v2.1 true_site0 1/108 A_l0_r16
compiler-v2.1 true_site0 2/108 A_l0_r32
compiler-v2.1 true_site0 3/108 A_l0_r64
compiler-v2.1 true_site0 4/108 A_l0_r8
compiler-v2.1 true_site0 5/108 A_l1_r16
compiler-v2.1 true_site0 6/108 A_l1_r32
compiler-v2.1 true_site0 7/108 A_l1_r64
compiler-v2.1 true_site0 8/108 A_l1_r8
compiler-v2.1 true_site0 9/108 A_l2_r16
compiler-v2.1 true_site0 10/108 A_l2_r32
compiler-v2.1 true_site0 11/108 A_l2_r64
compiler-v2.1 true_site0 12/108 A_l2_r8
compiler-v2.1 true_site0 13/108 A_l3_r16
compiler-v2.1 true_site0 14/108 A_l3_r32
compiler-v2.1 true_site0 15/108 A_l3_r64
compiler-v2.1 true_site0 16/108 A_l3_r8
compiler-v2.1 true_site0 17/108 A_l4_r16
compiler-v2.1 true_site0 18/108 A_l4_r32
compiler-v2.1 true_site0 19/108 A_l4_r64
compiler-v2.1 true_site0 20/108 A_l4_r8
compiler-v2.1 true_site0 21/108 A_l5_r16
compiler-v2.1 true_site0 22/108 A_l5_r32
compiler-v2.1 true_site0 23/108 A_l5_r64
compiler-v2.1 true_site0 24/108 A_l5_r8
compiler-v2.1 true_site0 25/108 A_l6_r16
compiler-v2.1 true_site0 26/108 A_l6_r32
compiler-v2.1 true_site0 27/108 A_l6_r64
compiler-v2.1 true_site0 28/108 A_l6_r8
compiler-v2.1 true_site0 29/108 A_l7_r16
compiler-v2.1 true_site0 30/108 A_l7_r32
compiler-v2.1 true_site0 31/108 A_l7_r64
compiler-v2.1 true_site0 32/108 A_l7_r8
compiler-v2.1 true_site0 33/108 B_l0_r16
compiler-v2.1 true_site0 34/108 B_l0_r32
compiler-v2.1 true_site0 35/108 B_l0_r64
compiler-v2.1 true_site0 36/108 B_l0_r8
compiler-v2.1 true_site0 37/108 B_l1_r16
compiler-v2.1 true_site0 38/108 B_l1_r32
compiler-v2.1 true_site0 39/108 B_l1_r64
compiler-v2.1 true_site0 40/108 B_l1_r8
compiler-v2.1 true_site0 41/108 B_l2_r16
compiler-v2.1 true_site0 42/108 B_l2_r32
compiler-v2.1 true_site0 43/108 B_l2_r64
compiler-v2.1 true_site0 44/108 B_l2_r8
compiler-v2.1 true_site0 45/108 B_l3_r16
compiler-v2.1 true_site0 46/108 B_l3_r32
compiler-v2.1 true_site0 47/108 B_l3_r64
compiler-v2.1 true_site0 48/108 B_l3_r8
compiler-v2.1 true_site0 49/108 B_l4_r16
compiler-v2.1 true_site0 50/108 B_l4_r32
compiler-v2.1 true_site0 51/108 B_l4_r64
compiler-v2.1 true_site0 52/108 B_l4_r8
compiler-v2.1 true_site0 53/108 B_l5_r16
compiler-v2.1 true_site0 54/108 B_l5_r32
compiler-v2.1 true_site0 55/108 B_l5_r64
compiler-v2.1 true_site0 56/108 B_l5_r8
compiler-v2.1 true_site0 57/108 B_l6_r16
compiler-v2.1 true_site0 58/108 B_l6_r32
compiler-v2.1 true_site0 59/108 B_l6_r64
compiler-v2.1 true_site0 60/108 B_l6_r8
compiler-v2.1 true_site0 61/108 B_l7_r16
compiler-v2.1 true_site0 62/108 B_l7_r32
compiler-v2.1 true_site0 63/108 B_l7_r64
compiler-v2.1 true_site0 64/108 B_l7_r8
compiler-v2.1 true_site0 65/108 C_l0_r16
compiler-v2.1 true_site0 66/108 C_l0_r32
compiler-v2.1 true_site0 67/108 C_l0_r64
compiler-v2.1 true_site0 68/108 C_l0_r8
compiler-v2.1 true_site0 69/108 C_l1_r16
compiler-v2.1 true_site0 70/108 C_l1_r32
compiler-v2.1 true_site0 71/108 C_l1_r64
compiler-v2.1 true_site0 72/108 C_l1_r8
compiler-v2.1 true_site0 73/108 C_l2_r16
compiler-v2.1 true_site0 74/108 C_l2_r32
compiler-v2.1 true_site0 75/108 C_l2_r64
compiler-v2.1 true_site0 76/108 C_l2_r8
compiler-v2.1 true_site0 77/108 C_l3_r16
compiler-v2.1 true_site0 78/108 C_l3_r32
compiler-v2.1 true_site0 79/108 C_l3_r64
compiler-v2.1 true_site0 80/108 C_l3_r8
compiler-v2.1 true_site0 81/108 C_l4_r16
compiler-v2.1 true_site0 82/108 C_l4_r32
compiler-v2.1 true_site0 83/108 C_l4_r64
compiler-v2.1 true_site0 84/108 C_l4_r8
compiler-v2.1 true_site0 85/108 C_l5_r16
compiler-v2.1 true_site0 86/108 C_l5_r32
compiler-v2.1 true_site0 87/108 C_l5_r64
compiler-v2.1 true_site0 88/108 C_l5_r8
compiler-v2.1 true_site0 89/108 C_l6_r16
compiler-v2.1 true_site0 90/108 C_l6_r32
compiler-v2.1 true_site0 91/108 C_l6_r64
compiler-v2.1 true_site0 92/108 C_l6_r8
compiler-v2.1 true_site0 93/108 C_l7_r16
compiler-v2.1 true_site0 94/108 C_l7_r32
compiler-v2.1 true_site0 95/108 C_l7_r64
compiler-v2.1 true_site0 96/108 C_l7_r8
compiler-v2.1 true_site0 97/108 D_k128
compiler-v2.1 true_site0 98/108 D_k16
compiler-v2.1 true_site0 99/108 D_k256
compiler-v2.1 true_site0 100/108 D_k32
compiler-v2.1 true_site0 101/108 D_k64
compiler-v2.1 true_site0 102/108 D_k8
compiler-v2.1 true_site0 103/108 E_k128
compiler-v2.1 true_site0 104/108 E_k16
compiler-v2.1 true_site0 105/108 E_k256
compiler-v2.1 true_site0 106/108 E_k32
compiler-v2.1 true_site0 107/108 E_k64
compiler-v2.1 true_site0 108/108 E_k8
compiler-v2.1 shuffle_site0 1/108 A_l0_r16
compiler-v2.1 shuffle_site0 2/108 A_l0_r32
compiler-v2.1 shuffle_site0 3/108 A_l0_r64
compiler-v2.1 shuffle_site0 4/108 A_l0_r8
compiler-v2.1 shuffle_site0 5/108 A_l1_r16
compiler-v2.1 shuffle_site0 6/108 A_l1_r32
compiler-v2.1 shuffle_site0 7/108 A_l1_r64
compiler-v2.1 shuffle_site0 8/108 A_l1_r8
compiler-v2.1 shuffle_site0 9/108 A_l2_r16
compiler-v2.1 shuffle_site0 10/108 A_l2_r32
compiler-v2.1 shuffle_site0 11/108 A_l2_r64
compiler-v2.1 shuffle_site0 12/108 A_l2_r8
compiler-v2.1 shuffle_site0 13/108 A_l3_r16
compiler-v2.1 shuffle_site0 14/108 A_l3_r32
compiler-v2.1 shuffle_site0 15/108 A_l3_r64
compiler-v2.1 shuffle_site0 16/108 A_l3_r8
compiler-v2.1 shuffle_site0 17/108 A_l4_r16
compiler-v2.1 shuffle_site0 18/108 A_l4_r32
compiler-v2.1 shuffle_site0 19/108 A_l4_r64
compiler-v2.1 shuffle_site0 20/108 A_l4_r8
compiler-v2.1 shuffle_site0 21/108 A_l5_r16
compiler-v2.1 shuffle_site0 22/108 A_l5_r32
compiler-v2.1 shuffle_site0 23/108 A_l5_r64
compiler-v2.1 shuffle_site0 24/108 A_l5_r8
compiler-v2.1 shuffle_site0 25/108 A_l6_r16
compiler-v2.1 shuffle_site0 26/108 A_l6_r32
compiler-v2.1 shuffle_site0 27/108 A_l6_r64
compiler-v2.1 shuffle_site0 28/108 A_l6_r8
compiler-v2.1 shuffle_site0 29/108 A_l7_r16
compiler-v2.1 shuffle_site0 30/108 A_l7_r32
compiler-v2.1 shuffle_site0 31/108 A_l7_r64
compiler-v2.1 shuffle_site0 32/108 A_l7_r8
compiler-v2.1 shuffle_site0 33/108 B_l0_r16
compiler-v2.1 shuffle_site0 34/108 B_l0_r32
compiler-v2.1 shuffle_site0 35/108 B_l0_r64
compiler-v2.1 shuffle_site0 36/108 B_l0_r8
compiler-v2.1 shuffle_site0 37/108 B_l1_r16
compiler-v2.1 shuffle_site0 38/108 B_l1_r32
compiler-v2.1 shuffle_site0 39/108 B_l1_r64
compiler-v2.1 shuffle_site0 40/108 B_l1_r8
compiler-v2.1 shuffle_site0 41/108 B_l2_r16
compiler-v2.1 shuffle_site0 42/108 B_l2_r32
compiler-v2.1 shuffle_site0 43/108 B_l2_r64
compiler-v2.1 shuffle_site0 44/108 B_l2_r8
compiler-v2.1 shuffle_site0 45/108 B_l3_r16
compiler-v2.1 shuffle_site0 46/108 B_l3_r32
compiler-v2.1 shuffle_site0 47/108 B_l3_r64
compiler-v2.1 shuffle_site0 48/108 B_l3_r8
compiler-v2.1 shuffle_site0 49/108 B_l4_r16
compiler-v2.1 shuffle_site0 50/108 B_l4_r32
compiler-v2.1 shuffle_site0 51/108 B_l4_r64
compiler-v2.1 shuffle_site0 52/108 B_l4_r8
compiler-v2.1 shuffle_site0 53/108 B_l5_r16
compiler-v2.1 shuffle_site0 54/108 B_l5_r32
compiler-v2.1 shuffle_site0 55/108 B_l5_r64
compiler-v2.1 shuffle_site0 56/108 B_l5_r8
compiler-v2.1 shuffle_site0 57/108 B_l6_r16
compiler-v2.1 shuffle_site0 58/108 B_l6_r32
compiler-v2.1 shuffle_site0 59/108 B_l6_r64
compiler-v2.1 shuffle_site0 60/108 B_l6_r8
compiler-v2.1 shuffle_site0 61/108 B_l7_r16
compiler-v2.1 shuffle_site0 62/108 B_l7_r32
compiler-v2.1 shuffle_site0 63/108 B_l7_r64
compiler-v2.1 shuffle_site0 64/108 B_l7_r8
compiler-v2.1 shuffle_site0 65/108 C_l0_r16
compiler-v2.1 shuffle_site0 66/108 C_l0_r32
compiler-v2.1 shuffle_site0 67/108 C_l0_r64
compiler-v2.1 shuffle_site0 68/108 C_l0_r8
compiler-v2.1 shuffle_site0 69/108 C_l1_r16
compiler-v2.1 shuffle_site0 70/108 C_l1_r32
compiler-v2.1 shuffle_site0 71/108 C_l1_r64
compiler-v2.1 shuffle_site0 72/108 C_l1_r8
compiler-v2.1 shuffle_site0 73/108 C_l2_r16
compiler-v2.1 shuffle_site0 74/108 C_l2_r32
compiler-v2.1 shuffle_site0 75/108 C_l2_r64
compiler-v2.1 shuffle_site0 76/108 C_l2_r8
compiler-v2.1 shuffle_site0 77/108 C_l3_r16
compiler-v2.1 shuffle_site0 78/108 C_l3_r32
compiler-v2.1 shuffle_site0 79/108 C_l3_r64
compiler-v2.1 shuffle_site0 80/108 C_l3_r8
compiler-v2.1 shuffle_site0 81/108 C_l4_r16
compiler-v2.1 shuffle_site0 82/108 C_l4_r32
compiler-v2.1 shuffle_site0 83/108 C_l4_r64
compiler-v2.1 shuffle_site0 84/108 C_l4_r8
compiler-v2.1 shuffle_site0 85/108 C_l5_r16
compiler-v2.1 shuffle_site0 86/108 C_l5_r32
compiler-v2.1 shuffle_site0 87/108 C_l5_r64
compiler-v2.1 shuffle_site0 88/108 C_l5_r8
compiler-v2.1 shuffle_site0 89/108 C_l6_r16
compiler-v2.1 shuffle_site0 90/108 C_l6_r32
compiler-v2.1 shuffle_site0 91/108 C_l6_r64
compiler-v2.1 shuffle_site0 92/108 C_l6_r8
compiler-v2.1 shuffle_site0 93/108 C_l7_r16
compiler-v2.1 shuffle_site0 94/108 C_l7_r32
compiler-v2.1 shuffle_site0 95/108 C_l7_r64
compiler-v2.1 shuffle_site0 96/108 C_l7_r8
compiler-v2.1 shuffle_site0 97/108 D_k128
compiler-v2.1 shuffle_site0 98/108 D_k16
compiler-v2.1 shuffle_site0 99/108 D_k256
compiler-v2.1 shuffle_site0 100/108 D_k32
compiler-v2.1 shuffle_site0 101/108 D_k64
compiler-v2.1 shuffle_site0 102/108 D_k8
compiler-v2.1 shuffle_site0 103/108 E_k128
compiler-v2.1 shuffle_site0 104/108 E_k16
compiler-v2.1 shuffle_site0 105/108 E_k256
compiler-v2.1 shuffle_site0 106/108 E_k32
compiler-v2.1 shuffle_site0 107/108 E_k64
compiler-v2.1 shuffle_site0 108/108 E_k8
