r.0.0: conc 2.72x | signed +5.83/-4.96 | minority 0.49
r.0.0.0: conc 7.21x | signed -9.04/+5.80 | minority 0.48
r.0.0.1: conc 7.69x | signed +1.01/-2.73 | minority 0.48
r.0.0.3: conc 6.56x | signed -0.15/-0.23 | minority 0.43
r.1.0: conc 6.48x | signed +2.96/-0.77 | minority 0.32
r.1.0.0: conc 7.24x | signed -1.25/+2.98 | minority 0.44
r.1.0.1: conc 8.79x | signed +1.33/-0.71 | minority 0.40
r.1.0.2: conc 5.0x | signed +0.88/+0.33 | minority 0.43
r.1.0.3: conc 4.91x | signed +0.74/+0.01 | minority 0.47
r.1.1: conc 7.64x | signed -0.65/+1.30 | minority 0.38
r.1.1.0: conc 9.31x | signed +1.39/-0.81 | minority 0.29
r.1.1.1: conc 7.53x | signed -0.52/+0.23 | minority 0.48
r.1.1.2: conc 7.05x | signed +0.11/-0.28 | minority 0.45
r.1.2: conc 3.65x | signed -0.23/+0.37 | minority 0.48
r.1.2.0: conc 6.9x | signed -0.46/+0.65 | minority 0.47
r.1.2.1: conc 4.57x | signed -0.23/+0.27 | minority 0.44
r.1.3: conc 3.44x | signed -0.09/+0.40 | minority 0.48
r.1.3.0: conc 7.19x | signed -0.49/+0.58 | minority 0.48
r.2.0: conc 2.0x | signed -7.72/+8.67 | minority 0.29
r.2.0.0: conc 3.09x | signed +9.70/-16.35 | minority 0.29
r.2.1: conc 4.96x | signed -2.14/+2.62 | minority 0.49
r.2.1.0: conc 9.23x | signed -3.76/+3.16 | minority 0.50
r.2.1.1: conc 4.31x | signed +0.05/-0.42 | minority 0.42
r.2.2: conc 4.56x | signed +0.80/-0.60 | minority 0.47
r.2.2.0: conc 5.89x | signed +0.87/-0.74 | minority 0.40
r.2.2.1: conc 3.64x | signed +0.09/+0.08 | minority 0.45
r.2.2.2: conc 3.81x | signed -0.16/+0.19 | minority 0.47
r.2.3: conc 3.03x | signed +0.66/-0.41 | minority 0.47
r.3.0.0: conc 8.08x | signed -7.19/+2.89 | minority 0.48
r.3.0.1: conc 4.94x | signed -1.03/-0.29 | minority 0.40
r.3.1.0: conc 8.37x | signed -2.74/+1.40 | minority 0.39
r.3.1.1: conc 4.91x | signed -0.99/+0.10 | minority 0.48
r.6.0.0: conc 9.09x | signed +1.77/-1.47 | minority 0.45
r.6.0.1: conc 5.58x | signed +0.39/-0.12 | minority 0.48
r.6.0.2: conc 7.07x | signed +0.44/+0.11 | minority 0.45
r.6.0.3: conc 6.75x | signed +0.65/+0.61 | minority 0.44
r.6.1.0: conc 3.68x | signed +0.06/+0.60 | minority 0.45
r.6.1.1: conc 6.92x | signed -1.13/+1.49 | minority 0.48
r.6.2.0: conc 5.42x | signed -2.11/+0.57 | minority 0.39
r.6.2.1: conc 5.42x | signed -0.44/-0.77 | minority 0.47
r.6.2.2: conc 6.95x | signed -1.53/+1.88 | minority 0.36
r.6.2.3: conc 6.18x | signed +0.34/+0.97 | minority 0.42
r.6.3.0: conc 6.92x | signed +1.68/-1.55 | minority 0.40
r.6.3.1: conc 5.37x | signed -0.86/+1.01 | minority 0.47
r.9.0.0: conc 3.56x | signed -0.33/+0.84 | minority 0.36
r.9.0.1: conc 4.66x | signed +0.75/+0.01 | minority 0.48
r.9.0.2: conc 3.77x | signed +0.09/+0.18 | minority 0.49
r.9.1.0: conc 7.58x | signed +0.65/-1.18 | minority 0.49
r.9.1.1: conc 4.24x | signed -0.44/+0.47 | minority 0.47
r.9.1.2: conc 3.89x | signed -0.12/-0.03 | minority 0.47
tested 50 skipped 18 | conc>=3x: 96% | two-signed: 100%
(a) >=70% conc >=3x: HELD
(b) >=50% two-signed: HELD
(c) examples recorded: HELD
wrote /workspace/tensor_language/basis_aligned/bilinear_quotient/explainer_batch_results.json (119s)
