level 0: 108 probes
r.0: repl 0.998 class newline 0.05 n=11981 tokens ['/', ' )', '1', '2', '3', ' the']
  r.0.0: repl 0.997 class newline 0.207 n=1798 tokens ['tainment', '6', 'tainment', ' Court', '3', ' House']
    r.0.0.0: repl 0.996 class newline 0.463 n=270 tokens ['2', ' Abbey', 'head', 'tainment', '3', 'gate']
    r.0.0.1: repl 0.945 class name 0.118 n=270 tokens [' Dover', 'bourne', ' Hotel', 'ham', ' Eating', 'ster']
    r.0.0.2: repl 0.851 class name 0.015 n=270 tokens ['2', '2', '300', '3', ' Museum', 'ights']
    r.0.0.3: repl 0.084 class name 0.019 n=270 tokens ['3', ' BAR', ' BAR', ' House', 'UB', ' Market']
  r.0.1: repl 0.981 class newline 0.05 n=1798 tokens ['ham', '\n', '\n', '\n', '\n', '\n']
    r.0.1.0: repl 0.966 class newline 0.374 n=270 tokens ['1', '3', '2', '4', '3', ' ']
    r.0.1.1: repl 0.94 class name 0.085 n=270 tokens ['\n', ')', '\n', 'ights', '\n', ' Palace']
    r.0.1.2: repl 0.903 class name 0.121 n=270 tokens ['tainment', ' Museum', ' House', ' Court', ' Abbey', '\n']
    r.0.1.3: repl 0.454 class digit 0.007 n=270 tokens ['ISH', '\n', 'UB', ' Canterbury', ' Steps', 'ights']
  r.0.2: repl 0.92 class newline 0.01 n=1798 tokens ['ster', 'ate', 'ities', ' the', ' t', '\n']
    r.0.2.0: repl 0.997 class newline 0.173 n=270 tokens ['1', 'head', '2', '3', '4', ' {']
    r.0.2.1: repl 0.988 class ind 0.005 n=270 tokens [' House', '\n', 'eping', '\n', '\n', 'ights']
    r.0.2.2: repl 0.878 class bclose 0.003 n=270 tokens ['\n', '\n', '\n', '\n', '\n', '\n']
    r.0.2.3: repl 0.885 class newline 0.072 n=270 tokens ['3', ' Market', 'S', ' Eating', ' ;', '\n']
  r.0.3: repl 0.888 class other 0.009 n=1798 tokens ['4', '3', ' Rye', 'ment', '\n', '2']
    r.0.3.0: repl 0.771 class newline 0.182 n=270 tokens ['3', '3', ')', ')', '4', '3']
    r.0.3.1: repl 0.854 class newline 0.128 n=270 tokens ['head', '6', ',', '\n', 'opping', '2']
    r.0.3.2: repl 0.85 class newline 0.006 n=270 tokens [' Dover', 'ham', '4', ' Hastings', '300', ' Sandwich']
    r.0.3.3: repl 0.344 class newline 0.009 n=270 tokens [' House', ' Hotel', ' Rye', ' House', ':', '6']
r.1: repl 0.991 class ind 0.034 n=11981 tokens [' o', '\n', '\n', '\n', '\n', 'ING']
  r.1.0: repl 0.984 class newline 0.116 n=1798 tokens [' ', ' ', ' ', ' G', ' ', ' ']
    r.1.0.0: repl 0.997 class newline 0.44 n=270 tokens ['\n', '\n', '\n', '\n', '\n', '\n']
    r.1.0.1: repl 0.986 class subword 0.062 n=270 tokens ['LE', ' ', ' ', 'LE', ' ', ' W']
    r.1.0.2: repl 0.766 class subword 0.092 n=270 tokens ['2', '2', 'UB', '1', ' G', ' G']
    r.1.0.3: repl 0.695 class ind 0.058 n=270 tokens ['Information', '1', ' ', '2', ' Egyptian', ' ']
  r.1.1: repl 0.98 class newline 0.401 n=1798 tokens ['\n', '\n', '\n', ' House', ' Rooms', ' Tower']
    r.1.1.0: repl 0.998 class newline 0.577 n=270 tokens ['1', ' t', ' t', '1', ' t', ' t']
    r.1.1.1: repl 0.977 class newline 0.044 n=270 tokens ['M', '-', 'M', 'M', 'M', 'M']
    r.1.1.2: repl 0.917 class name 0.081 n=270 tokens [' t', ' t', ' t', ' Hastings', ' t', ' t']
    r.1.1.3: repl 0.714 class rep 0.044 n=270 tokens [' ', 'bourne', ' Dover', ' ', ' ', ' W']
  r.1.2: repl 0.981 class rep 0.018 n=1798 tokens [' the', ' between', ' the', ' Struct', ' G', ',']
    r.1.2.0: repl 0.982 class other 0.022 n=270 tokens [' S', ' ', ' ', ' S', ' included', ' S']
    r.1.2.1: repl 0.945 class ind 0.038 n=270 tokens ['Bus', '-', 'ights', 'ights', '-', 'ights']
    r.1.2.2: repl 0.244 class rep 0.049 n=270 tokens ['\n', '/', '\n', ' tourist', 'M', 'LE']
    r.1.2.3: repl 0.26 class digit 0.017 n=270 tokens [' 9', ' 8', 'igo', ' ', ' St', ' New']
  r.1.3: repl 0.956 class sentend 0.014 n=1798 tokens [' Dover', 'bourne', ' Hastings', ' Sandwich', 'gate', ' House']
    r.1.3.0: repl 0.84 class newline 0.132 n=270 tokens ['400', '-', 'B', '\n', '-', 'rd']
    r.1.3.1: repl 0.64 class ind 0.039 n=270 tokens [' ', ' ', ' ', ' ', ' ', ' ']
    r.1.3.2: repl 0.508 class subword 0.047 n=270 tokens ['us', ' St', 'as', ' St', ' St', ' St']
    r.1.3.3: repl 0.385 class subword 0.022 n=270 tokens ['2', ' Rye', ' t', ' Sandwich', '-', '2']
r.2: repl 0.943 class newline 0.127 n=11981 tokens ['\n', ' t', ' m', '\n', '\n', '\n']
  r.2.0: repl 0.992 class newline 0.497 n=1798 tokens ['\n', '\n', '\n', '\n', '\n', '\n']
    r.2.0.0: repl 0.991 class newline 0.701 n=270 tokens [' Hotel', '\n', '\n', '\n', ' Hotel', '\n']
    r.2.0.1: repl 0.089 class ind 0.008 n=270 tokens ['ham', 'bourne', ')', ' Tower', '\n', ' Abbey']
