L 0: class 3.436 | within 10.126 | total 13.562
L 1: class 2.731 | within 8.656 | total 11.387
L 2: class 2.460 | within 7.983 | total 10.443
L 3: class 2.293 | within 7.827 | total 10.120
L 4: class 2.058 | within 7.405 | total 9.463
L 5: class 2.220 | within 8.608 | total 10.828
L 6: class 2.060 | within 8.527 | total 10.587
L 7: class 1.954 | within 7.949 | total 9.903
L 8: class 1.838 | within 7.304 | total 9.142
L 9: class 1.783 | within 7.040 | total 8.823
L10: class 1.725 | within 6.651 | total 8.375
L11: class 1.647 | within 6.320 | total 7.966
L12: class 1.613 | within 6.085 | total 7.697
L13: class 1.584 | within 5.699 | total 7.283
L14: class 1.559 | within 5.208 | total 6.767
L15: class 1.455 | within 4.365 | total 5.821
L16: class 1.028 | within 3.057 | total 4.086
L17: class 0.772 | within 2.492 | total 3.263
wrote /workspace/tensor_language/basis_aligned/bilinear_quotient/logit_lens_content_results.json (82.3s)
