75 tags to rescreen
[1/75] r.0.0.0: verdict changes none | top-writer changes 2/3
[2/75] r.0.0.1: verdict changes none | top-writer changes 1/2
[3/75] r.0.0: verdict changes none | top-writer changes 1/3
[4/75] r.1.0.0: verdict changes none | top-writer changes 0/3
[5/75] r.1.0.1: verdict changes none | top-writer changes 2/3
[6/75] r.1.0: verdict changes none | top-writer changes 1/3
[7/75] r.1.1.3: verdict changes ['m15', 'm13'] | top-writer changes 3/3
[8/75] r.1.2.0: verdict changes ['m14'] | top-writer changes 2/2
[9/75] r.1.2.2: verdict changes ['m14'] | top-writer changes 2/2
[10/75] r.1: verdict changes none | top-writer changes 0/4
[11/75] r.10.2.0: verdict changes none | top-writer changes 1/2
[12/75] r.11.1.1: verdict changes none | top-writer changes 0/3
[13/75] r.11.1.2: verdict changes none | top-writer changes 1/3
[14/75] r.11.3.0: verdict changes none | top-writer changes 1/2
[15/75] r.11.3.1: verdict changes none | top-writer changes 0/2
[16/75] r.11.3.2: verdict changes none | top-writer changes 0/2
[17/75] r.12.0.2: verdict changes none | top-writer changes 1/3
[18/75] r.12.2.0: verdict changes none | top-writer changes 1/2
[19/75] r.12.2.1: verdict changes none | top-writer changes 0/2
[20/75] r.12.2.3: verdict changes none | top-writer changes 0/2
[21/75] r.13.0.1: verdict changes none | top-writer changes 2/2
[22/75] r.13.1.0: verdict changes none | top-writer changes 0/3
[23/75] r.13.1: verdict changes none | top-writer changes 1/3
[24/75] r.13.2.1: verdict changes ['a7', 'a6', 'a3'] | top-writer changes 2/3
[25/75] r.13.2.2: verdict changes none | top-writer changes 0/3
[26/75] r.13.3.0: verdict changes none | top-writer changes 1/2
[27/75] r.15.0.3: verdict changes none | top-writer changes 1/2
[28/75] r.18.0.0: verdict changes none | top-writer changes 1/2
[29/75] r.18.2.0: verdict changes ['a7', 'a9'] | top-writer changes 2/2
[30/75] r.18.2.1: verdict changes none | top-writer changes 0/2
[31/75] r.2.0.1: verdict changes none | top-writer changes 0/2
[32/75] r.2.0.2: verdict changes ['a8', 'a6'] | top-writer changes 2/2
[33/75] r.2.0.3: verdict changes none | top-writer changes 0/2
[34/75] r.2.0: verdict changes none | top-writer changes 0/2
[35/75] r.2.3: verdict changes none | top-writer changes 0/1
[36/75] r.22.2.1: verdict changes none | top-writer changes 0/2
[37/75] r.23.0.2: verdict changes none | top-writer changes 0/2
[38/75] r.23.1.3: verdict changes none | top-writer changes 0/3
[39/75] r.23.2.2: verdict changes none | top-writer changes 0/2
[40/75] r.23.2.3: verdict changes none | top-writer changes 0/1
[41/75] r.23.3.0: verdict changes none | top-writer changes 0/1
[42/75] r.3.0.2: verdict changes none | top-writer changes 0/3
[43/75] r.3.2.1: verdict changes ['a15', 'a17'] | top-writer changes 1/2
[44/75] r.3.2.3: verdict changes none | top-writer changes 2/2
[45/75] r.3.3.0: verdict changes none | top-writer changes 0/1
[46/75] r.3.3.2: verdict changes none | top-writer changes 1/2
[47/75] r.4.0.0: verdict changes none | top-writer changes 0/2
[48/75] r.4.0.1: verdict changes none | top-writer changes 1/2
[49/75] r.4.0.3: verdict changes none | top-writer changes 0/1
[50/75] r.4.1.1: verdict changes none | top-writer changes 1/2
[51/75] r.4.2.0: verdict changes ['a9', 'a10'] | top-writer changes 2/2
[52/75] r.4.2.3: verdict changes none | top-writer changes 2/3
[53/75] r.4.3.0: verdict changes none | top-writer changes 0/1
[54/75] r.5.0.1: verdict changes ['a4', 'a3', 'a2'] | top-writer changes 0/3
[55/75] r.5.0: verdict changes none | top-writer changes 2/3
[56/75] r.5.2.1: verdict changes ['a15', 'a4', 'a3'] | top-writer changes 1/3
[57/75] r.5.3.1: verdict changes none | top-writer changes 1/2
[58/75] r.5.3.2: verdict changes none | top-writer changes 3/3
[59/75] r.6.0.0: verdict changes none | top-writer changes 1/1
[60/75] r.6.0.1: verdict changes none | top-writer changes 1/1
[61/75] r.6.0: verdict changes none | top-writer changes 2/2
[62/75] r.6.2.0: verdict changes ['m17'] | top-writer changes 1/1
[63/75] r.6.3.0: verdict changes none | top-writer changes 0/3
[64/75] r.6.3: verdict changes none | top-writer changes 2/3
[65/75] r.6: verdict changes none | top-writer changes 0/4
[66/75] r.7.1.0: verdict changes none | top-writer changes 1/1
[67/75] r.7.1.1: verdict changes none | top-writer changes 0/1
[68/75] r.7.1: verdict changes none | top-writer changes 0/2
[69/75] r.7.2.0: verdict changes none | top-writer changes 0/2
[70/75] r.7.3.2: verdict changes none | top-writer changes 0/2
[71/75] r.8.0.0: verdict changes none | top-writer changes 2/2
[72/75] r.8.1.0: verdict changes none | top-writer changes 1/3
[73/75] r.8.3.1: verdict changes none | top-writer changes 0/2
[74/75] r.9.2.3: verdict changes none | top-writer changes 1/3
[75/75] r.9.3.1: verdict changes none | top-writer changes 0/2

verdict flips: [('r.1.1.3', 'm15'), ('r.1.1.3', 'm13'), ('r.1.2.0', 'm14'), ('r.1.2.2', 'm14'), ('r.13.2.1', 'a7'), ('r.13.2.1', 'a6'), ('r.13.2.1', 'a3'), ('r.18.2.0', 'a7'), ('r.18.2.0', 'a9'), ('r.2.0.2', 'a8'), ('r.2.0.2', 'a6'), ('r.3.2.1', 'a15'), ('r.3.2.1', 'a17'), ('r.4.2.0', 'a9'), ('r.4.2.0', 'a10'), ('r.5.0.1', 'a4'), ('r.5.0.1', 'a3'), ('r.5.0.1', 'a2'), ('r.5.2.1', 'a15'), ('r.5.2.1', 'a4'), ('r.5.2.1', 'a3'), ('r.6.2.0', 'm17')]
top-writer changes: 60 of 167 component tests
positives: 6 before -> 10 after
