prepared fineweb: rows=1170 coverage=0.937236
prepared code: rows=192 coverage=0.864237
evaluated fineweb rows 4/1170
evaluated fineweb rows 8/1170
evaluated fineweb rows 12/1170
evaluated fineweb rows 16/1170
evaluated fineweb rows 20/1170
evaluated fineweb rows 24/1170
evaluated fineweb rows 28/1170
evaluated fineweb rows 32/1170
evaluated fineweb rows 36/1170
evaluated fineweb rows 40/1170
evaluated fineweb rows 44/1170
evaluated fineweb rows 48/1170
evaluated fineweb rows 52/1170
evaluated fineweb rows 56/1170
evaluated fineweb rows 60/1170
evaluated fineweb rows 64/1170
evaluated fineweb rows 68/1170
evaluated fineweb rows 72/1170
evaluated fineweb rows 76/1170
evaluated fineweb rows 80/1170
evaluated fineweb rows 84/1170
evaluated fineweb rows 88/1170
evaluated fineweb rows 92/1170
evaluated fineweb rows 96/1170
evaluated fineweb rows 100/1170
evaluated fineweb rows 104/1170
evaluated fineweb rows 108/1170
evaluated fineweb rows 112/1170
evaluated fineweb rows 116/1170
evaluated fineweb rows 120/1170
evaluated fineweb rows 124/1170
evaluated fineweb rows 128/1170
evaluated fineweb rows 132/1170
evaluated fineweb rows 136/1170
evaluated fineweb rows 140/1170
evaluated fineweb rows 144/1170
evaluated fineweb rows 148/1170
evaluated fineweb rows 152/1170
evaluated fineweb rows 156/1170
evaluated fineweb rows 160/1170
evaluated fineweb rows 164/1170
evaluated fineweb rows 168/1170
evaluated fineweb rows 172/1170
evaluated fineweb rows 176/1170
evaluated fineweb rows 180/1170
evaluated fineweb rows 184/1170
evaluated fineweb rows 188/1170
evaluated fineweb rows 192/1170
evaluated fineweb rows 196/1170
evaluated fineweb rows 200/1170
evaluated fineweb rows 204/1170
evaluated fineweb rows 208/1170
evaluated fineweb rows 212/1170
evaluated fineweb rows 216/1170
evaluated fineweb rows 220/1170
evaluated fineweb rows 224/1170
evaluated fineweb rows 228/1170
evaluated fineweb rows 232/1170
evaluated fineweb rows 236/1170
evaluated fineweb rows 240/1170
evaluated fineweb rows 244/1170
evaluated fineweb rows 248/1170
evaluated fineweb rows 252/1170
evaluated fineweb rows 256/1170
evaluated fineweb rows 260/1170
evaluated fineweb rows 264/1170
evaluated fineweb rows 268/1170
