Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
z captured
comma 2 {'rise_class': 0.0018, 'rise_global': -0.0}
comma 8 {'rise_class': 0.0033, 'rise_global': -0.0001}
comma 32 {'rise_class': 0.0054, 'rise_global': -0.0001}
question 2 {'rise_class': 0.1784, 'rise_global': -0.0002}
question 8 {'rise_class': 0.1862, 'rise_global': -0.0002}
question 32 {'rise_class': 0.1972, 'rise_global': -0.0002}
semicolon 2 {'rise_class': 0.0057, 'rise_global': -0.0}
semicolon 8 {'rise_class': 0.0099, 'rise_global': -0.0}
semicolon 32 {'rise_class': 0.0134, 'rise_global': -0.0}
pronouns 2 {'rise_class': -0.1519, 'rise_global': 0.0013}
pronouns 8 {'rise_class': -0.2827, 'rise_global': 0.0026}
pronouns 32 {'rise_class': -0.1772, 'rise_global': 0.0018}
is 2 {'rise_class': -0.0082, 'rise_global': 0.0016}
is 8 {'rise_class': 0.0227, 'rise_global': 0.0019}
is 32 {'rise_class': 0.2645, 'rise_global': 0.0006}
the 2 {'rise_class': -0.0963, 'rise_global': 0.0065}
the 8 {'rise_class': -0.0103, 'rise_global': 0.0035}
the 32 {'rise_class': -0.0724, 'rise_global': 0.0085}
months 2 {'rise_class': -0.0702, 'rise_global': 0.0001}
months 8 {'rise_class': 0.0665, 'rise_global': 0.0001}
months 32 {'rise_class': 0.1005, 'rise_global': 0.0001}
close_paren 2 {'rise_class': 0.0048, 'rise_global': -0.0}
close_paren 8 {'rise_class': 0.0062, 'rise_global': 0.0}
close_paren 32 {'rise_class': 0.0072, 'rise_global': 0.0001}
pred_a False | pred_b False | pred_c True
wrote /workspace/tensor_language/basis_aligned/bilinear_quotient/mlp_form_screen_results.json (280.1s)
