L0: prose-code 0.428 | prose-prose 0.9092 | null 0.0561
L1: prose-code 0.4032 | prose-prose 0.8883 | null 0.0553
L2: prose-code 0.3986 | prose-prose 0.8611 | null 0.0564
L3: prose-code 0.3668 | prose-prose 0.8674 | null 0.0569
L4: prose-code 0.3563 | prose-prose 0.8683 | null 0.056
L5: prose-code 0.2748 | prose-prose 0.8197 | null 0.0569
L6: prose-code 0.2481 | prose-prose 0.7805 | null 0.058
L7: prose-code 0.2607 | prose-prose 0.7623 | null 0.0584
L8: prose-code 0.1798 | prose-prose 0.728 | null 0.0574
L9: prose-code 0.1982 | prose-prose 0.7501 | null 0.0563
L10: prose-code 0.2004 | prose-prose 0.7161 | null 0.0562
L11: prose-code 0.2093 | prose-prose 0.7077 | null 0.0563
L12: prose-code 0.1952 | prose-prose 0.6769 | null 0.0562
L13: prose-code 0.1826 | prose-prose 0.6351 | null 0.0561
L14: prose-code 0.1671 | prose-prose 0.6006 | null 0.0566
L15: prose-code 0.1757 | prose-prose 0.5836 | null 0.0563
L16: prose-code 0.1818 | prose-prose 0.5633 | null 0.0562
L17: prose-code 0.2233 | prose-prose 0.581 | null 0.0561
BANDS prose-code: front(0-2) 0.4099 | transition(3-5) 0.3326 | deepmiddle(6-14) 0.2046 | readout(15-17) 0.1936
pred_a grammar-general/content-specific: True | wrote /workspace/tensor_language/basis_aligned/bilinear_quotient/register_generality_by_depth_results.json (92.6s)
