{'l1': 0.001, 'seed': 0, 'acc': 1.0, 'live_units': 16, 'dominance_mean': 0.8183, 'dominance_median': 0.7843, 'neg_dominant_frac': 0.4375}
{'l1': 0.001, 'seed': 1, 'acc': 1.0, 'live_units': 21, 'dominance_mean': 0.8754, 'dominance_median': 0.8686, 'neg_dominant_frac': 0.619}
{'l1': 0.001, 'seed': 2, 'acc': 1.0, 'live_units': 19, 'dominance_mean': 0.7888, 'dominance_median': 0.7938, 'neg_dominant_frac': 0.5789}
{'l1': 0.001, 'seed': 3, 'acc': 1.0, 'live_units': 17, 'dominance_mean': 0.7772, 'dominance_median': 0.7564, 'neg_dominant_frac': 0.5294}
{'l1': 0.001, 'seed': 4, 'acc': 1.0, 'live_units': 18, 'dominance_mean': 0.8055, 'dominance_median': 0.8198, 'neg_dominant_frac': 0.5}
{'l1': 0.003, 'seed': 0, 'acc': 1.0, 'live_units': 13, 'dominance_mean': 0.8556, 'dominance_median': 0.8357, 'neg_dominant_frac': 0.3846}
{'l1': 0.003, 'seed': 1, 'acc': 1.0, 'live_units': 14, 'dominance_mean': 0.897, 'dominance_median': 0.9055, 'neg_dominant_frac': 0.7143}
{'l1': 0.003, 'seed': 2, 'acc': 1.0, 'live_units': 13, 'dominance_mean': 0.7981, 'dominance_median': 0.7518, 'neg_dominant_frac': 0.3846}
{'l1': 0.003, 'seed': 3, 'acc': 1.0, 'live_units': 13, 'dominance_mean': 0.8293, 'dominance_median': 0.8339, 'neg_dominant_frac': 0.4615}
{'l1': 0.003, 'seed': 4, 'acc': 1.0, 'live_units': 11, 'dominance_mean': 0.8042, 'dominance_median': 0.8254, 'neg_dominant_frac': 0.4545}
{'l1': 0.01, 'seed': 0, 'acc': 1.0, 'live_units': 13, 'dominance_mean': 0.8499, 'dominance_median': 0.911, 'neg_dominant_frac': 0.4615}
{'l1': 0.01, 'seed': 1, 'acc': 1.0, 'live_units': 13, 'dominance_mean': 0.9323, 'dominance_median': 0.9195, 'neg_dominant_frac': 0.6154}
{'l1': 0.01, 'seed': 2, 'acc': 1.0, 'live_units': 9, 'dominance_mean': 0.8453, 'dominance_median': 0.8806, 'neg_dominant_frac': 0.4444}
{'l1': 0.01, 'seed': 3, 'acc': 1.0, 'live_units': 14, 'dominance_mean': 0.8456, 'dominance_median': 0.8236, 'neg_dominant_frac': 0.5}
{'l1': 0.01, 'seed': 4, 'acc': 1.0, 'live_units': 10, 'dominance_mean': 0.8407, 'dominance_median': 0.8242, 'neg_dominant_frac': 0.5}
{'l1': 0.03, 'seed': 0, 'acc': 1.0, 'live_units': 12, 'dominance_mean': 0.9019, 'dominance_median': 0.9583, 'neg_dominant_frac': 0.25}
{'l1': 0.03, 'seed': 1, 'acc': 1.0, 'live_units': 12, 'dominance_mean': 0.9668, 'dominance_median': 0.9951, 'neg_dominant_frac': 0.5833}
{'l1': 0.03, 'seed': 2, 'acc': 1.0, 'live_units': 11, 'dominance_mean': 0.8514, 'dominance_median': 0.8753, 'neg_dominant_frac': 0.4545}
{'l1': 0.03, 'seed': 3, 'acc': 1.0, 'live_units': 12, 'dominance_mean': 0.8996, 'dominance_median': 0.9519, 'neg_dominant_frac': 0.75}
{'l1': 0.03, 'seed': 4, 'acc': 1.0, 'live_units': 11, 'dominance_mean': 0.8727, 'dominance_median': 0.8428, 'neg_dominant_frac': 0.4545}
{'l1': 0.1, 'seed': 0, 'acc': 1.0, 'live_units': 10, 'dominance_mean': 0.9123, 'dominance_median': 0.9582, 'neg_dominant_frac': 0.4}
{'l1': 0.1, 'seed': 1, 'acc': 1.0, 'live_units': 12, 'dominance_mean': 0.9542, 'dominance_median': 0.9917, 'neg_dominant_frac': 0.5}
{'l1': 0.1, 'seed': 2, 'acc': 1.0, 'live_units': 11, 'dominance_mean': 0.8657, 'dominance_median': 0.8941, 'neg_dominant_frac': 0.6364}
{'l1': 0.1, 'seed': 3, 'acc': 1.0, 'live_units': 12, 'dominance_mean': 0.8814, 'dominance_median': 0.8977, 'neg_dominant_frac': 0.6667}
{'l1': 0.1, 'seed': 4, 'acc': 1.0, 'live_units': 11, 'dominance_mean': 0.8667, 'dominance_median': 0.9219, 'neg_dominant_frac': 0.6364}
done
