Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
means ready
subset base CE 3.09057
attn L0 floor +0.14538
attn L1 floor +0.08580
attn L2 floor +0.13815
attn L3 floor +0.38433
attn L4 floor +0.28968
attn L5 floor +0.29838
attn L6 floor +0.05889
attn L7 floor +0.05384
attn L8 floor +0.04016
attn L9 floor +0.06208
attn L10 floor +0.04401
attn L11 floor +0.08653
attn L12 floor +0.02041
attn L13 floor +0.01774
attn L14 floor +0.02486
attn L15 floor +0.01316
attn L16 floor +0.01308
attn L17 floor +0.07362
mlp  L0 floor +3.62671
mlp  L1 floor +2.15118
mlp  L2 floor +0.18181
mlp  L3 floor +0.13080
mlp  L4 floor +0.25274
mlp  L5 floor +0.08246
mlp  L6 floor +0.04746
mlp  L7 floor +0.04587
mlp  L8 floor +0.03557
mlp  L9 floor +0.03295
mlp  L10 floor +0.03100
mlp  L11 floor +0.03339
mlp  L12 floor +0.02702
mlp  L13 floor +0.02956
mlp  L14 floor +0.02784
mlp  L15 floor +0.08099
mlp  L16 floor +0.59296
mlp  L17 floor +0.69318
QK COMPLETENESS LEDGER DONE
