Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
tables...
estimating offset kernels...
kernels ready
class rates: {'induction(repeat)': 0.477, 'after-det': 0.055, 'subword-tgt': 0.14, 'punct-tgt': 0.17, 'near-boundary': 0.12, 'cap-tgt': 0.165}
l0h0: zero +0.00276 kernel +0.00458 content-ratio 1.66 | top class cap-tgt 1.6x
l0h1: zero +0.00021 kernel +0.00150 content-ratio 7.22 | top class after-det 1.3x
l0h2: zero +0.00012 kernel +0.00068 content-ratio 5.41 | top class near-boundary 1.6x
l0h3: zero +0.08271 kernel +0.87539 content-ratio 10.58 | top class cap-tgt 1.5x
l0h4: zero +0.00179 kernel +0.00897 content-ratio 5.00 | top class cap-tgt 1.3x
l0h5: zero +0.00028 kernel +0.00269 content-ratio 9.50 | top class cap-tgt 1.3x
l0h6: zero +0.00347 kernel +0.00227 content-ratio 0.65 | top class cap-tgt 1.4x
l0h7: zero +0.00655 kernel +0.15314 content-ratio 23.37 | top class after-det 1.3x
l0h8: zero +0.00335 kernel +0.01678 content-ratio 5.01 | top class after-det 1.4x
l1h0: zero +0.00215 kernel +0.21476 content-ratio 100.03 | top class cap-tgt 1.6x
l1h1: zero +0.06959 kernel +4.69592 content-ratio 67.48 | top class cap-tgt 1.5x
l1h2: zero +0.00104 kernel +0.02021 content-ratio 19.43 | top class cap-tgt 1.4x
l1h3: zero +0.01100 kernel +0.04642 content-ratio 4.22 | top class after-det 1.4x
l1h4: zero +0.02383 kernel +0.90412 content-ratio 37.94 | top class cap-tgt 1.4x
l1h5: zero +0.00615 kernel +0.11879 content-ratio 19.32 | top class after-det 1.6x
l1h6: zero +0.00119 kernel +0.00229 content-ratio 1.93 | top class cap-tgt 1.4x
l1h7: zero +0.00535 kernel +0.06798 content-ratio 12.72 | top class cap-tgt 1.3x
l1h8: zero +0.01569 kernel +3.73764 content-ratio 238.21 | top class cap-tgt 1.4x
GENERALITY DONE
