Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
held-back FW[448:600] tokens 19304 | class dist [0.083, 0.121, 0.098, 0.027, 0.226, 0.445] | majority 0.445
INTACT baselines: CE 3.4946 | category-decode acc 0.6567 | match-rate 0.0348 (adv 3.045)

  L |  mean-abl dCE |   +/- SE | cat-decode drop | match-rate chg
----------------------------------------------------------------------
  0 |       +0.6643 |   0.0093 |         +0.0684 |        -0.0009 [anchor]
  1 |       +5.6004 |   0.0312 |         +0.2560 |        +0.0294 [anchor]
  2 |       +0.6771 |   0.0089 |         +0.0769 |        +0.0016 [anchor]
  3 |       +0.4948 |   0.0076 |         +0.0497 |        +0.0043 [anchor]
  4 |       +0.1118 |   0.0036 |         +0.0099 |        +0.0006
  5 |       +0.0981 |   0.0034 |         +0.0110 |        -0.0013
  6 |       +0.0864 |   0.0031 |         +0.0135 |        -0.0008
  7 |       +0.0618 |   0.0026 |         +0.0112 |        +0.0001
  8 |       +0.0513 |   0.0024 |         +0.0093 |        -0.0010
  9 |       +0.0567 |   0.0025 |         +0.0081 |        -0.0004
 10 |       +0.0463 |   0.0023 |         +0.0072 |        -0.0003
 11 |       +0.0464 |   0.0024 |         +0.0060 |        -0.0003
 12 |       +0.0435 |   0.0022 |         +0.0071 |        -0.0001
 13 |       +0.0394 |   0.0022 |         +0.0059 |        -0.0003
 14 |       +0.0302 |   0.0019 |         +0.0032 |        -0.0003
 15 |       +0.0394 |   0.0021 |         +0.0062 |        -0.0000
 16 |       +0.1452 |   0.0049 |         +0.0374 |        -0.0000 [anchor]
 17 |       +0.4467 |   0.0090 |         +0.0591 |        +0.0000 [anchor]

QK MIDSTACK MLP FAMILY DONE
