usage: tf_train.py [-h] [--variant VARIANT] [--depth DEPTH] [--width WIDTH]
                   [--seed SEED] [--vocab VOCAB] [--tok {bpe,trunc}]
                   [--no-sweep] [--slot SLOT] [--suffix SUFFIX]
                   [--n-slots N_SLOTS] [--group-coeff GROUP_COEFF] [--lr LR]
                   [--no-qk-norm]
                   {baselines,cell}
tf_train.py: error: the following arguments are required: cmd
  tf_predicate_d3_w128_b8192_s1_slot32 step 0/15000 ce 9.0546 (ema 9.0546) 0s
  tf_predicate_d3_w128_b8192_s1_slot32 step 200/15000 ce 5.7577 (ema 6.3014) 13s
  tf_predicate_d3_w128_b8192_s1_slot32 step 400/15000 ce 5.2044 (ema 5.2813) 26s
  tf_predicate_d3_w128_b8192_s1_slot32 step 600/15000 ce 4.8916 (ema 4.9935) 38s
  tf_predicate_d3_w128_b8192_s1_slot32 step 800/15000 ce 4.6820 (ema 4.8435) 51s
  tf_predicate_d3_w128_b8192_s1_slot32 step 1000/15000 ce 4.8406 (ema 4.7826) 63s
  tf_predicate_d3_w128_b8192_s1_slot32 step 1200/15000 ce 4.7345 (ema 4.7474) 76s
  tf_predicate_d3_w128_b8192_s1_slot32 step 1400/15000 ce 4.8428 (ema 4.7103) 89s
  tf_predicate_d3_w128_b8192_s1_slot32 step 1600/15000 ce 4.6083 (ema 4.6847) 101s
  tf_predicate_d3_w128_b8192_s1_slot32 step 1800/15000 ce 4.7507 (ema 4.6614) 114s
  held100 CE 4.5792 at step 1875
  tf_predicate_d3_w128_b8192_s1_slot32 step 2000/15000 ce 4.6478 (ema 4.6359) 127s
  tf_predicate_d3_w128_b8192_s1_slot32 step 2200/15000 ce 4.6429 (ema 4.6169) 139s
  tf_predicate_d3_w128_b8192_s1_slot32 step 2400/15000 ce 4.5224 (ema 4.5887) 152s
  tf_predicate_d3_w128_b8192_s1_slot32 step 2600/15000 ce 4.5330 (ema 4.5841) 165s
  tf_predicate_d3_w128_b8192_s1_slot32 step 2800/15000 ce 4.5953 (ema 4.5660) 177s
  tf_predicate_d3_w128_b8192_s1_slot32 step 3000/15000 ce 4.6680 (ema 4.5832) 190s
  tf_predicate_d3_w128_b8192_s1_slot32 step 3200/15000 ce 4.6032 (ema 4.5643) 202s
  tf_predicate_d3_w128_b8192_s1_slot32 step 3400/15000 ce 4.4924 (ema 4.5535) 215s
  tf_predicate_d3_w128_b8192_s1_slot32 step 3600/15000 ce 4.4531 (ema 4.5521) 228s
  held100 CE 4.4743 at step 3750
  tf_predicate_d3_w128_b8192_s1_slot32 step 3800/15000 ce 4.5323 (ema 4.5184) 241s
  tf_predicate_d3_w128_b8192_s1_slot32 step 4000/15000 ce 4.5215 (ema 4.5324) 253s
  tf_predicate_d3_w128_b8192_s1_slot32 step 4200/15000 ce 4.5205 (ema 4.5062) 266s
  tf_predicate_d3_w128_b8192_s1_slot32 step 4400/15000 ce 4.4841 (ema 4.4995) 278s
  tf_predicate_d3_w128_b8192_s1_slot32 step 4600/15000 ce 4.4427 (ema 4.4926) 291s
  tf_predicate_d3_w128_b8192_s1_slot32 step 4800/15000 ce 4.5467 (ema 4.4913) 304s
  tf_predicate_d3_w128_b8192_s1_slot32 step 5000/15000 ce 4.4757 (ema 4.4872) 316s
