Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[transformers] Token indices sequence length is longer than the specified maximum sequence length for this model (3180 > 1024). Running this sequence through the model will result in indexing errors
bilin18 regime-1 OV floor: 18 layers x 9 heads, d_head=128
  layer | mean L1 drop% | mean Hoyer before->after
   0    |     2.68      | 0.214 -> 0.235
   1    |     2.50      | 0.203 -> 0.223
   2    |     1.57      | 0.204 -> 0.216
   3    |     1.66      | 0.205 -> 0.218
   4    |     1.45      | 0.205 -> 0.216
   5    |     1.52      | 0.204 -> 0.216
   6    |     1.47      | 0.207 -> 0.219
   7    |     0.98      | 0.204 -> 0.212
   8    |     1.79      | 0.208 -> 0.222
   9    |     1.19      | 0.207 -> 0.217
  10    |     1.40      | 0.205 -> 0.216
  11    |     1.25      | 0.211 -> 0.221
  12    |     1.17      | 0.203 -> 0.213
  13    |     1.25      | 0.205 -> 0.215
  14    |     1.45      | 0.211 -> 0.223
  15    |     1.41      | 0.205 -> 0.216
  16    |     1.29      | 0.207 -> 0.218
  17    |     1.30      | 0.204 -> 0.214

exact-gauge check: max|Δlogit| after applying all OV rotations = 1.68e+01 (must be ~0)
L1-drop early(L0-2) 2.25%  mid(L7-10) 1.34%  late(L15-17) 1.33%
bilin18 regime1 done -> bilin18_regime1.json
