Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
buffered 60000 docs for tokenizer



tokenizer ready
  val.bin: 10000/15000 docs, 14M tokens
  val.bin: 15000/15000 docs, 21M tokens
val.bin: 21354419 tokens
  train.bin: 10000/560000 docs, 15M tokens
  train.bin: 20000/560000 docs, 29M tokens
  train.bin: 30000/560000 docs, 43M tokens
  train.bin: 40000/560000 docs, 57M tokens
  train.bin: 50000/560000 docs, 72M tokens
  train.bin: 60000/560000 docs, 86M tokens
  train.bin: 70000/560000 docs, 100M tokens
  train.bin: 80000/560000 docs, 114M tokens
  train.bin: 90000/560000 docs, 129M tokens
  train.bin: 100000/560000 docs, 144M tokens
  train.bin: 110000/560000 docs, 158M tokens
  train.bin: 120000/560000 docs, 173M tokens
  train.bin: 130000/560000 docs, 187M tokens
  train.bin: 140000/560000 docs, 201M tokens
  train.bin: 150000/560000 docs, 216M tokens
  train.bin: 160000/560000 docs, 230M tokens
  train.bin: 170000/560000 docs, 245M tokens
  train.bin: 180000/560000 docs, 259M tokens
  train.bin: 190000/560000 docs, 273M tokens
  train.bin: 200000/560000 docs, 287M tokens
  train.bin: 210000/560000 docs, 302M tokens
  train.bin: 220000/560000 docs, 316M tokens
  train.bin: 230000/560000 docs, 330M tokens
  train.bin: 240000/560000 docs, 345M tokens
  train.bin: 250000/560000 docs, 359M tokens
  train.bin: 260000/560000 docs, 374M tokens
  train.bin: 270000/560000 docs, 388M tokens
  train.bin: 280000/560000 docs, 403M tokens
  train.bin: 290000/560000 docs, 417M tokens
  train.bin: 300000/560000 docs, 432M tokens
  train.bin: 310000/560000 docs, 446M tokens
  train.bin: 320000/560000 docs, 460M tokens
  train.bin: 330000/560000 docs, 475M tokens
  train.bin: 340000/560000 docs, 490M tokens
  train.bin: 350000/560000 docs, 504M tokens
  train.bin: 360000/560000 docs, 518M tokens
  train.bin: 370000/560000 docs, 533M tokens
  train.bin: 380000/560000 docs, 547M tokens
  train.bin: 390000/560000 docs, 561M tokens
  train.bin: 400000/560000 docs, 575M tokens
  train.bin: 410000/560000 docs, 590M tokens
  train.bin: 420000/560000 docs, 604M tokens
  train.bin: 430000/560000 docs, 618M tokens
  train.bin: 440000/560000 docs, 632M tokens
  train.bin: 450000/560000 docs, 646M tokens
  train.bin: 460000/560000 docs, 660M tokens
  train.bin: 470000/560000 docs, 675M tokens
  train.bin: 480000/560000 docs, 689M tokens
  train.bin: 490000/560000 docs, 704M tokens
  train.bin: 500000/560000 docs, 718M tokens
  train.bin: 510000/560000 docs, 732M tokens
  train.bin: 520000/560000 docs, 746M tokens
  train.bin: 530000/560000 docs, 760M tokens
  train.bin: 540000/560000 docs, 775M tokens
  train.bin: 550000/560000 docs, 789M tokens
  train.bin: 560000/560000 docs, 803M tokens
train.bin: 803056997 tokens
